id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,Private_room,Entire_home/apt
288,40.73433,-74.00301,1,0,0.0,1,0,1,0
289,40.83499000000001,-73.94528000000003,6,1,0.04,1,0,1,0
290,40.72008,-74.0043,1,25,0.36,3,37,0,1
291,40.69211,-73.97224,4,0,0.0,1,0,1,0
292,40.74235,-73.90375,1,1,0.02,1,0,1,0
293,40.72195,-73.98861,15,11,0.44,3,347,0,0
294,40.69968,-73.92645,7,117,3.04,2,137,0,1
295,40.65949000000001,-73.94852,5,1,0.02,1,0,0,1
296,40.76329000000001,-73.97543,6,4,4.0,1,191,1,0
297,40.69227,-73.94159,28,6,0.32,1,197,1,0
298,40.7633,-73.9878,2,2,1.36,1,5,0,1
299,40.82622,-73.9498,31,1,0.03,4,64,1,0
300,40.71066,-73.95725999999998,1,42,1.14,1,0,1,0
301,40.70371,-73.92877,14,6,5.0,1,0,1,0
302,40.76649000000001,-73.92266,30,0,0.0,103,237,1,0
303,40.82366,-73.9461,3,1,0.07,1,0,1,0
304,40.83849,-73.93809,2,57,1.67,1,0,1,0
305,40.70526,-73.91964,1,1,0.02,1,0,1,0
306,40.69293,-73.98495,4,13,0.54,1,5,1,0
307,40.68981,-73.9604,1,4,4.0,6,344,0,0
308,40.69084,-73.95368,2,51,5.02,1,125,0,1
309,40.7318,-73.98321999999997,2,169,4.17,1,0,0,1
310,40.74776,-74.00238,15,1,0.06,1,0,0,1
311,40.72291,-73.98915,1,5,0.31,3,17,1,0
312,40.6944,-73.96606,1,1,0.04,2,0,0,1
313,40.7631,-73.98753,1,0,0.0,1,0,0,1
314,40.69982,-73.92491,2,8,3.75,1,317,1,0
315,40.81614,-73.94116,2,66,1.51,4,180,1,0
316,40.74141,-73.99996,1,1,0.02,1,0,0,1
317,40.70577,-73.75932,3,2,0.06,1,56,1,0
318,40.80466,-73.95635,3,14,3.31,1,16,0,1
319,40.69518,-73.9038,30,4,0.07,1,157,1,0
320,40.68739,-73.93208,30,0,0.0,27,0,1,0
321,40.68517,-73.99545,7,54,4.98,2,311,1,0
322,40.67414,-73.9662,2,7,1.5,1,63,1,0
323,40.68797,-73.95439,1,21,7.5,1,114,1,0
324,40.74793,-73.92034,4,0,0.0,1,69,1,0
325,40.85083,-73.9287,4,48,0.82,2,12,1,0
326,40.82774000000001,-73.95181,1,28,1.13,4,6,1,0
327,40.77618,-73.98395,8,1,1.0,1,62,0,1
328,40.70817,-73.83595,1,13,2.41,2,17,1,0
329,40.68327,-73.92598000000002,2,7,2.84,1,255,0,1
330,40.7172,-73.95983000000003,9,1,0.02,1,0,1,0
331,40.63516,-74.00078,1,55,5.16,2,59,1,0
332,40.64846,-73.97338,4,26,0.44,1,0,0,1
333,40.71732,-73.94027,3,15,0.7,3,19,1,0
334,40.81378,-73.95353,14,17,0.23,1,41,1,0
335,40.78081,-73.82005,2,0,0.0,1,0,1,0
336,40.80758,-73.93701999999998,1,34,0.98,1,170,0,1
337,40.67773,-73.90865,2,4,1.67,1,363,1,0
338,40.72042,-73.99622,1,14,5.25,1,30,1,0
339,40.73749,-73.95291999999998,3,36,0.36,28,79,1,0
340,40.86089000000001,-73.92832,4,0,0.0,1,0,0,1
341,40828.0,-73.81275,3,1,1.0,1,336,0,1
342,40.8127,-73.95004,1,1,0.02,1,0,1,0
343,40.69052,-73.94149,1,32,2.74,17,83,0,0
344,40.71422000000001,-73.95697,2,0,0.0,1,30,0,1
345,40801.0,-73.9613,2,11,0.31,1,2,0,1
346,40.74417,-73.94823000000002,7,12,0.18,1,365,1,0
347,40.81611,-73.89909,5,82,0.96,1,63,0,1
348,40.75066,-73.90424,2,14,0.33,3,90,1,0
349,40.82471,-73.94332,4,27,0.75,2,156,1,0
350,40.76413,-73.99301,2,0,0.0,3,3,0,1
351,40.72052,-73.94098000000002,8,12,0.44,1,0,0,1
352,40.78822,-73.94870999999998,3,102,3.78,3,222,0,1
353,40.74819,-73.97641999999998,2,61,2.95,1,26,0,1
354,40.76365,-73.93191999999998,30,4,0.16,1,0,1,0
355,40.78101,-73.98533,3,4,0.11,1,0,1,0
356,40.71344000000001,-73.99037,1,160,1.33,4,188,0,1
357,40.87211,-73.91544,30,2,0.09,1,15,0,1
358,40.72403,-73.95055,4,2,0.04,1,0,0,1
359,40.73365,-73.95354,2,0,0.0,1,0,1,0
360,40.74047,-73.98380999999998,2,8,0.26,1,0,1,0
361,40.70131,-73.91745,2,8,0.16,2,363,1,0
362,40.70788,-73.9511,3,5,0.31,1,0,1,0
363,40.7444,-73.97284,30,0,0.0,65,364,0,1
364,40.84984,-73.94187,3,2,0.04,1,0,0,1
365,40.67401,-73.92833,1,6,0.11,2,41,1,0
366,40.73299,-74.00444,7,0,0.0,1,0,0,1
367,40.76404,-73.96628,2,84,2.47,1,27,0,1
368,40.76769,-73.95616,1,0,0.0,1,0,0,1
369,40.82261,-73.95163000000002,2,102,3.33,1,99,1,0
370,40.7137,-73.96674,2,15,1.16,1,3,1,0
371,40.71093,-73.96406999999998,5,2,0.24,1,9,0,1
372,40.64706,-73.96056999999998,30,1,0.63,1,0,1,0
373,40.69209,-73.99421,2,1,0.05,1,0,1,0
374,40.71813,-73.99063000000002,30,0,0.0,1,365,0,1
375,40.71879000000001,-73.98362,4,9,0.26,1,0,1,0
376,40.81633,-73.96146999999998,1,3,0.09,1,0,0,1
377,40.82167000000001,-73.94726,5,0,0.0,1,0,0,1
378,40.70818,-73.92201999999997,1,142,2.12,3,329,1,0
379,40.70073,-73.94037,1,7,1.06,2,5,0,1
380,40.76209,-73.99875,2,12,1.14,2,2,0,1
381,40.64542,-73.96484,1,22,0.58,1,365,0,0
382,40.79478,-73.93415999999998,2,32,0.64,5,63,1,0
383,40.73735,-73.98425,2,1,1.0,1,10,0,1
384,40.71732,-73.95048,30,22,1.01,6,276,1,0
385,40.7771,-73.94996,31,5,0.34,33,289,0,1
386,40.71627,-73.99404,1,4,0.06,1,0,1,0
387,40.7258,-73.94426,4,0,0.0,1,0,1,0
388,40.72823,-73.98425,1,24,1.79,2,91,1,0
389,40.7898,-73.9708,1,0,0.0,1,0,0,1
390,40.75034,-73.99059,3,4,2.35,1,144,0,1
391,40.73744,-73.87246999999998,30,14,1.15,1,242,0,1
392,40.81835,-73.94138000000002,1,2,0.04,1,0,1,0
393,40.75587,-73.96856,30,0,0.0,52,281,0,1
394,40.72409,-73.95039,5,5,1.17,4,68,0,1
395,40.8017,-73.96991,15,0,0.0,1,39,0,1
396,40.86612,-73.9189,6,1,0.03,1,0,0,1
397,40.72916,-73.98228,30,0,0.0,1,90,0,1
398,40.70288,-73.91506,4,5,0.12,1,2,0,1
399,40.81963,-73.93879,1,3,0.47,1,0,1,0
400,40.73283,-73.98228,1,4,2.35,1,104,1,0
401,40.81095,-73.95296,3,90,1.96,2,304,0,1
402,40.75786,-73.99485,1,0,0.0,1,0,0,1
403,40.69635,-73.93743,29,0,0.0,2,341,1,0
404,40.74221,-73.9974,8,5,0.08,1,2,0,1
405,40.69327,-73.95725,2,0,0.0,1,87,1,0
406,40.79416,-73.97044,1,26,1.04,2,0,1,0
407,40.72085,-73.98945,3,38,4.58,1,99,1,0
408,40.71257,-73.98671,1,0,0.0,1,0,1,0
